Subject,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours
Statistics Graduate Level,19.975,25.1,39.26666,47.926664
Video Game Design,5.55,5.55,6.21666,47.596662
Florida EOC Assessment,17.71666,17.71666,47.56666,47.56666
Microeconomics,0.98333,4.51666,24.0,47.41666
Chess,1.13333,4.1,23.86666,47.02666
Piano,0.68333,18.43333,27.20833,46.7
ISEE-Middle Level Reading Comprehension,33.34166,46.21666,46.21666,46.21666
MCAT Biological and Biochemical Foundations of Living Systems,19.51666,19.51666,46.03333,46.03333
Math 1,10.4916625,24.0,36.1208275,45.266665
IB Chemistry,0.5916625,3.78333,29.2958275,45.13333
Hindi,8.149995,32.68333,41.391665,45.041666
ACCUPLACER,1.63333,6.8,16.224995,44.56666
IB Social and Cultural Anthropology,24.9125,32.425,39.9375,44.445
Special Education,0.849995,1.791665,2.9833275,44.23833
German 1,3.866665,5.13333,32.566665,44.08333
ASTB,27.3416625,33.749995,40.1583275,44.003327
Quantitative Methods,13.8458325,25.391665,36.9374975,43.864997
Mobile App Development,43.76666,43.76666,43.76666,43.76666
Fluid Dynamics,23.55,24.28333,38.44166,42.91666
Tableau,17.9499975,29.85833,41.3749975,42.799999
AP Chemistry,2.499995,9.75,24.0,42.3
Microsoft Word,0.204165,0.41666,1.366665,42.076662
Audio Engineering,13.35,24.35,35.35,41.95
AP German Language and Culture,28.9833325,33.966665,38.9499975,41.939997
Finance,0.791665,11.525,24.012495,41.716665
Middle School Science,6.5,13.53333,24.0,41.56666
AP Statistics,2.699995,15.56666,24.0,41.36666
Grade 12 Physics,1.1,2.36666,4.26666,41.25
Animation,8.41666,24.6,28.79166,41.156664
AVMA,40.93333,40.93333,40.93333,40.93333
AP Calculus BC,4.93333,16.09166,25.6375,40.88333
Corporate Finance,0.44166,4.03333,28.899995,40.783328
Aerospace Engineering,-0.13333,4.33333,35.0916625,40.71166
OAT,29.79583,33.95833,38.12083,40.61833
AP Calculus AB,2.48333,9.36666,23.56666,40.48333
Elementary School Writing,3.95,13.63333,24.0,40.41
Study Skills And Organization,3.20833,5.31666,20.675,40.353332
Heat Transfer,15.525,24.0,34.091665,40.146664
SQL,14.875,24.55,34.225,40.03
Cryptocurrency,40.01666,40.01666,40.01666,40.01666
DAT,4.2333275,19.349995,23.329165,39.731662
College Algebra,2.9,9.08333,17.76666,39.546666
Coding,0.35,1.36666,5.31666,39.53666
CISA,39.45,39.45,39.45,39.45
Finite Mathematics,12.58333,15.85,28.099995,39.149998
Architecture,7.5,24.53333,29.25,39.06666
SAT,5.73333,15.43333,24.0,38.833328
MATLAB,13.45833,26.03333,33.941665,38.686666
IB History,0.124995,0.18333,24.191665,38.596666
Algebra 2,5.099995,13.924995,24.0,38.556662
IB Mathematics: Analysis and Approaches,1.6124975,2.6,4.937495,38.449995
AP Biology,2.23333,7.31666,22.95,38.29
Functions,0.9833325,1.68333,3.1833275,37.923329
AP Pre-Calculus,4.05,10.46666,25.0874975,37.471666
Pre-Calculus,6.0083275,13.741665,24.0,37.15
College Physics,2.554165,11.4,24.0,36.98333
Civics,2.312495,5.45,19.3625,36.641665
ARRT - Computed Tomography,10.741665,20.58333,30.424995,36.329994
Public Health,6.13333,26.16666,28.96666,36.13666
Business Analytics,4.47916,22.04166,26.5791625,36.13333
AP Computer Science A,1.18333,4.73333,21.46666,35.486664
Social Networking,0.10833,1.35,1.425,34.926664
ACT,1.88333,6.63333,23.041665,34.886664
AP Physics 2,6.15,18.9,24.0,34.43666
PSAT Mathematics,16.9999975,21.38333,25.99583,34.29833
Statics and Dynamics,5.16666,23.98333,25.762495,34.188327
College Application Essays,0.299995,6.016665,11.454165,33.88333
Biomechanics,0.11666,9.61666,24.14166,33.18666
Critical Analysis and Reasoning Skills,1.391665,2.6,21.691665,33.146664
FE - Mechanical Engineering,4.8333275,10.15,22.58333,33.08833
GRE,0.4,4.9,24.0,33.086662
American Sign Language,5.0666625,19.61666,22.96666,32.974995
Voice,1.05,3.45,15.3625,32.485
Biomedical Engineering,16.31666,24.01666,25.56666,32.443328
Executive Functioning,0.95,5.56666,20.93333,32.13333
Russian,0.13333,1.28333,9.5208325,31.813331
NYSTCE,6.6374975,17.791665,24.18333,31.69833
ABIM Exam,21.041665,31.68333,31.68333,31.68333
Marketing,0.1875,6.38333,24.0,31.664994
Elementary School Reading,2.91666,10.55833,24.0,31.05
PRAXIS,0.3833325,1.95,24.1583325,30.86666
Biochemistry,0.866665,6.391665,24.0,30.564998
MPJE - New York,30.33333,30.33333,30.33333,30.33333
Cyber Security,14.112495,26.166665,29.5583275,29.96666
CPC,0.137495,0.73333,11.92083,29.75
GMAT,0.31666,1.16666,11.2,29.73333
CPA REG,0.05,1.33333,1.33333,29.663332
AP Microeconomics,0.66666,5.48333,18.7,29.60833
Business Statistics,0.88333,5.78333,22.71666,29.446662
Fine Arts,29.26666,29.26666,29.26666,29.26666
Earth Science,2.024995,4.11666,25.95,29.11
Mathematics for College Technology,29.1,29.1,29.1,29.1
ACT Math,0.67916,7.26666,24.0,29.025
PRAXIS Elementary School,24.5083325,28.95,28.95,28.95
Logic,8.141665,16.13333,24.124995,28.919994
High School Physics,2.80833,10.81666,22.6,28.91666
CST Surgical Tech Exam,28.88333,28.88333,28.88333,28.88333
General Chemistry 2,0.341665,14.75,24.0,28.81666
Linear Programming,28.71666,28.71666,28.71666,28.71666
MTEL,28.7,28.7,28.7,28.7
Engineering Economics,28.66666,28.66666,28.66666,28.66666
Elementary School Science,0.0,0.0,5.96666,28.61666
SAT Math,4.30833,13.01666,24.0,28.56666
Elementary School Math,1.0458325,7.23333,24.0,28.08333
MPJE,0.1,0.53333,1.3,28.01666
Geometry,3.4,9.7,23.474995,27.983332
AP Computer Science Principles,1.28333,5.93333,21.56666,27.96666
IBEW,1.45,13.58333,24.0,27.88333
Calculus 1,1.6583325,8.324995,22.4375,27.609998
Korean,0.191665,0.63333,21.10833,27.6
PE - Principles and Practice of Engineering - Civil - Construction,27.51666,27.51666,27.51666,27.51666
High School Chemistry,2.83333,11.0,22.21666,27.44333
CSET,1.15,14.3,24.0,27.413332
Middle School Reading,0.0,4.86666,15.13333,27.4
GED,0.78333,2.28333,22.43333,27.0
MBLEX,1.4583325,8.649995,24.2375,26.991665
Orton Gillingham,0.549995,4.841665,19.21666,26.93333
AP World History,0.45,5.01666,22.51666,26.879994
AP Physics 1,6.61666,15.95,24.0,26.85666
College Accounting,0.41666,2.91666,11.08333,26.81666
SAT Writing and Language,3.274995,6.51666,17.1874975,26.763333
College Chemistry,1.91666,6.48333,20.61666,26.683328
Thermodynamics,2.93333,6.88333,7.25,26.65666
Creative Writing,3.03333,6.66666,24.6,26.63333
Trigonometry,4.53333,11.6,21.904165,26.531663
AP Comparative Government and Politics,3.687495,8.25,21.912495,26.46666
Multivariable Calculus,9.5333275,22.16666,24.0,26.405
Algebra,1.16666,7.83333,21.224995,26.17333
NCLEX-RN,0.4,0.849995,18.8124975,26.16666
AP Human Geography,3.95,11.13333,24.0,26.15
Middle School Math,0.0,5.73333,17.666665,26.08333
Conversational French,0.23333,0.474995,7.3749975,26.0
Organic Chemistry 2,0.46666,5.35,24.01666,25.976662
Cursor,25.9,25.9,25.9,25.9
Computer Architecture,24.5208325,25.041665,25.5624975,25.874997
Praxis Audiology,25.78333,25.78333,25.78333,25.78333
Middle School English,0.0,1.28333,11.8583325,25.75
Computer Programming,1.341665,5.35,17.7,25.736666
High School Computer Science,1.9875,20.275,25.63333,25.73333
College Biology,4.15833,6.8,16.30833,25.7
Computer Networks,12.84166,25.66666,25.66666,25.66666
Probability,6.4374975,16.8,18.66666,25.661663
Middle School Social Studies,0.36666,6.98333,24.0,25.589994
Microsoft Office,0.23333,4.83333,24.0,25.33
Differential Calculus,25.18333,25.18333,25.18333,25.18333
PRAXIS Speech Language Pathology ,0.3499975,1.95,18.93333,25.14166
Middle School Writing,7.26666,14.1,23.966665,24.939996
Organic Chemistry,0.691665,5.75,18.749995,24.893328
Project Management/PMP,0.13333,0.86666,0.88333,24.81
High School Biology,4.51666,6.56666,19.35,24.78333
College Math,4.83333,11.58333,22.8,24.76666
Basic Computer Literacy,0.78333,6.96666,20.9124975,24.758331
Data Science,22.51666,24.0,24.0,24.699996
Flute,1.40833,1.68333,9.89583,24.67833
PRAXIS Counseling,22.066665,24.63333,24.63333,24.63333
Arabic,0.45,4.6,7.28333,24.476666
Fluid Mechanics,1.016665,4.899995,8.58333,24.35833
French 1,0.28333,1.35,17.15,24.299994
LMSW - Licensed Master Social Worker,0.1958325,0.374995,11.17916,24.26666
AP Macroeconomics,0.8,3.98333,16.11666,24.26666
Microbiology,0.41666,4.56666,24.0,24.186664
Industrial Engineering,24.15,24.15,24.15,24.15
TEAS,0.36666,2.73333,14.94166,24.05
Honors Algebra,24.01666,24.01666,24.01666,24.01666
Quantitative Reasoning,5.76666,21.28333,24.0,24.01666
GATE/ TAG,24.01666,24.01666,24.01666,24.01666
Music Theory,3.57916,13.96666,21.50416,24.01666
Phonics,0.30833,3.01666,15.641665,24.013328
Public Speaking,1.375,4.95,16.01666,24.013328
Nursing,1.3958275,6.041665,14.7874975,24.011662
Violin,24.0,24.0,24.0,24.0
Grade 12 Chemistry,0.63333,3.525,20.224995,24.0
MCAT,1.11666,4.8,19.0,24.0
LSAT,0.11666,0.51666,7.149995,24.0
Algorithms,1.42083,3.18333,19.737495,24.0
Calculus 2,4.5,9.01666,22.91666,24.0
ACT English,0.0,0.616665,3.24166,24.0
Criminal Law,9.01666,9.01666,24.0,24.0
Financial Accounting,0.21666,0.53333,10.41666,24.0
Pathophysiology,0.71666,3.36666,24.0,24.0
Macroeconomics,1.05,11.4,20.51666,24.0
Microsoft Excel,0.18333,1.11666,15.68333,24.0
Conversational Spanish,0.304165,1.03333,8.7125,24.0
Algebra Regents,0.96666,1.86666,22.33333,24.0
Kindergarten Readiness,0.55,2.75,12.591665,24.0
Operating Systems,13.48333,20.3,24.0,24.0
SSAT- Upper Level,4.58333,5.141665,10.95,24.0
ISEE- Lower Level,2.316665,5.51666,24.0,24.0
ISEE- Middle Level,15.36666,22.15833,24.0,24.0
PSAT,0.0,0.01666,4.94583,24.0
C++,12.266665,24.0,24.0,24.0
Spelling Bee,1.56666,7.3,16.6,24.0
Differential Equations,0.93333,5.28333,10.024995,24.0
Singing,19.1333325,24.0,24.0,24.0
Evolutionary Biology,24.0,24.0,24.0,24.0
FE - Fundamentals of Engineering - Other Disciplines,24.0,24.0,24.0,24.0
High School English,0.48333,4.85,15.91666,24.0
Life Sciences,24.0,24.0,24.0,24.0
OAR,24.0,24.0,24.0,24.0
Conversational Italian,0.3,0.45,3.26666,24.0
MPJE - Illinois,24.0,24.0,24.0,24.0
Pharmacology,4.8,6.88333,24.0,24.0
College Statistics,0.91666,5.93333,19.91666,24.0
Elementary School English,0.3916625,6.71666,17.85,24.0
AFOQT,0.829165,2.46666,14.0208275,23.95
Spanish 1,0.63333,5.26666,16.0,23.593332
Anatomy & Physiology,1.749995,6.14166,16.5083275,23.55
NCLEX,0.5458275,2.825,13.01666,23.503327
JavaScript,19.3708275,20.924995,22.4791625,23.411663
Certified Reading Intervention,2.274995,3.075,8.304165,23.391666
Inorganic Chemistry,18.30833,23.33333,23.33333,23.33333
Calculus 3,3.36666,6.8,20.85,23.269998
CDL,0.79166,12.13333,23.25,23.25
Physics 2,0.11666,0.25833,7.66666,23.071666
Legal Writing,2.98333,5.53333,16.466665,23.026666
AANP,6.39583,12.75833,19.12083,22.93833
Series 7,0.2,0.299995,2.1499975,22.93333
Statistics,0.66666,3.85,12.53333,22.916665
Calculus and Vectors,0.991665,7.54166,20.34166,22.91666
Business Calculus,0.28333,0.91666,8.004165,22.864998
Academic Coaching,4.912495,10.85833,18.779165,22.791662
ARRT - Sonography,0.46666,11.58333,22.7,22.7
Vocal Training,2.68333,5.11666,16.06666,22.63666
NPTE,0.20833,4.63333,16.8,22.6
Technical Writing,0.76666,6.75,16.46666,22.493332
TACHS,0.1541625,0.93333,7.925,22.384997
Printmaking,22.35,22.35,22.35,22.35
STAAR Grades 3-8,0.324995,4.91666,18.28333,22.28
Essay Editing,0.391665,5.03333,15.925,22.2
ARRT - Magnetic Resonance Imaging,22.18333,22.18333,22.18333,22.18333
BCABA,11.075,22.1,22.1,22.1
AP English Language and Composition,0.43333,3.53333,13.266665,22.06
Elementary Social Studies,14.16666,14.16666,19.08333,22.033332
Managerial Accounting,0.8124975,3.45833,7.46666,21.98333
ChatGPT,0.53333,2.1,2.98333,21.956666
Pathology,4.08333,7.5,16.525,21.94
Civil Procedure,12.09583,15.85833,19.62083,21.87833
Theology,0.36666,0.76666,11.391665,21.83333
Grade 11 Physics,0.099995,5.35,14.30833,21.8
AP European History,0.299995,2.149995,5.61666,21.78333
College Level American History,6.4374975,12.291665,18.1458325,21.658333
IB Extended Essay,21.36666,21.36666,21.36666,21.36666
Adult ESL/ELL,0.90833,4.68333,13.499995,21.253332
High School Writing,1.86666,4.75,12.1,21.219996
NAPLEX,0.062495,0.11666,0.36666,21.198327
Computer Game Design,21.18333,21.18333,21.18333,21.18333
Wordpress,0.766665,5.86666,19.024995,21.16666
Genetics,1.0041625,1.974995,10.3583325,21.123327
AP Japanese Language and Culture,20.75,20.75,20.75,20.75
Logic Pro Software,2.18333,2.51666,20.01666,20.683328
Electrical Engineering,4.849995,12.08333,18.76666,20.58333
Mac Basic Computer Skills,0.2333325,0.88333,16.51666,20.58166
PSAT Reading and Writing,3.63333,6.85,15.425,20.57
CLEP Precalculus,5.53333,5.53333,20.45,20.45
IB Biology,1.9875,5.28333,9.2458275,20.278331
Clinical Psychiatry,20.25,20.25,20.25,20.25
Applied Mathematics,19.1,19.60833,20.11666,20.11666
Criminology,3.11666,11.24166,19.916665,20.1
Software Engineering,1.125,1.25,12.991665,20.036664
Ukrainian,10.4458275,13.86666,16.06666,20.02666
ASVAB,0.241665,0.78333,3.3,20.02166
ISEE- Upper Level,0.68333,0.93333,12.474995,19.399994
Python,0.31666,4.28333,10.75,19.33333
MCAT Chemical and Physical Foundations of Biological Systems,0.15833,0.2,12.1,19.24
IELTS,0.3374975,2.35,18.75,19.005
Quantum Physics,19.0,19.0,19.0,19.0
Medical Surgery,5.1874975,10.916665,16.3875,18.885
Grade 11 Math,0.85,6.93333,13.3333275,18.625
Chemistry 2,0.55,2.56666,3.93333,18.46
Autodesk Maya,18.36666,18.36666,18.36666,18.36666
Chemical Engineering,18.33333,18.33333,18.33333,18.33333
College English,0.11666,0.23333,2.9,18.08
CLEP Biology,5.13333,5.13333,18.06666,18.06666
SSAT- Middle Level,0.291665,0.43333,9.2,17.933332
Portuguese,0.5249975,4.73333,9.637495,17.9
SHRM-CP,1.16666,9.449995,17.73333,17.73333
ESL/ELL,0.31666,0.63333,4.71666,17.6
Claude,3.23333,8.28333,15.0,17.44
AP US History,0.35,1.05,5.48333,17.393332
Pre-Algebra,0.0,3.591665,12.0083325,17.37166
Visual Studio,8.674995,17.31666,17.31666,17.31666
High School World History,0.32916,3.30833,10.904165,17.3
AP Research,1.86666,4.85833,15.704165,17.27666
Cantonese,2.25833,2.95,11.75,17.03
College Geography,5.4208275,11.80833,16.85,16.85
IB Literature and Performance,16.81666,16.81666,16.81666,16.81666
ARDMS - Sonography Principals and Instruments (SPI),0.11666,0.3,0.4,16.796666
Latin 1,1.61666,1.86666,5.95,16.789996
PTCE,0.31666,0.33333,1.33333,16.54333
Spanish 3,1.587495,5.874995,12.65416,16.45833
PRAXIS Early Childhood,2.28333,9.974995,14.06666,16.38333
Grade 9 Math,1.35833,6.2,7.96666,16.32666
Series 66,2.03333,3.76666,10.58333,16.26666
Handwriting,1.64583,9.18333,13.479165,16.18833
AP English Literature and Composition,0.066665,4.70833,11.32083,15.99333
College Political Science,0.699995,1.35,5.975,15.96
High School Reading,1.25,7.35,8.891665,15.94666
Analytical Chemistry,9.4208325,11.891665,14.3624975,15.844997
Expository Writing,0.95,12.1,12.1,15.679996
Drawing,0.43333,1.23333,4.31666,15.6
CAPM,0.13333,0.35,15.2,15.543332
AP Seminar,1.554165,3.541665,14.3125,15.41666
FINRA,3.03333,3.03333,10.75833,15.39333
Tagalog,15.16666,15.16666,15.16666,15.16666
NMLS,0.11666,0.31666,2.48333,14.4
AP U.S. Government & Politics,0.404165,1.26666,4.49166,14.399997
STAAR EOC,14.2,14.2,14.2,14.2
AP Psychology,0.21666,0.4,1.9,13.88333
PRAXIS Spanish,3.33333,3.33333,3.33333,13.813332
English Grammar and Syntax,0.11666,0.93333,4.375,13.75
Police Officer Exam,9.58333,13.61666,13.61666,13.61666
Managerial Economics,6.83333,13.55,13.55,13.55
Mandarin Chinese 1,0.15,0.16666,1.45,13.399996
TExES™,0.85833,1.45,8.866665,13.316664
PRAXIS Content Math,0.38333,0.4,0.4,13.15
PRAXIS English,12.91666,12.91666,12.91666,12.91666
Java,0.21666,5.55,5.95,12.896664
PE - Electrical and Computer - Computer Engineering,12.8,12.8,12.8,12.8
Construction,0.1,0.1,0.1,12.619996
Supply Chain Management,6.58333,12.53333,12.53333,12.53333
Medical Terminology,1.41666,3.2,3.2,11.6
Series 7  - General Securities Representative Exam (Stockbroker),3.225,6.4,9.575,11.48
AP French Language and Culture,0.41666,0.76666,1.754165,11.321666
PRAXIS Core Math,0.75,0.75,0.75,10.733329
GED Math,0.41666,4.8,5.46666,10.68333
ACCUPLACER College-Level Math,2.4,2.4,6.03333,10.68333
Photoshop,0.46666,0.941665,5.85,10.38333
Adult Literacy,0.31666,0.73333,1.68333,10.273328
Electronics,7.512495,8.50833,9.504165,10.101666
Latin 3,0.316665,0.35,6.4,10.03
High School Level American History,0.36666,2.43333,3.61666,9.906666
Spanish 4,0.27916,0.391665,1.0083325,9.741665
OTR,0.6291625,2.016665,3.2,9.44
ANCC - Medical-Surgical Nursing Certification (MEDSURG),9.15,9.15,9.15,9.15
PE - Electrical and Computer - Power,8.73333,8.73333,8.73333,8.73333
Cell Biology,1.224995,2.06666,5.41666,8.503332
HSPT,5.1208275,5.949995,8.4499975,8.5
High School Geography,0.28333,0.28333,3.20833,8.47333
VTNE,0.041665,1.075,4.2583325,8.143331
NREMT,0.1875,0.866665,4.379165,7.9
FE - Electrical and Computer Engineering,3.141665,3.416665,5.0499975,7.689999
College Business,1.08333,1.1,5.73333,7.46666
Advanced Functions,0.41666,2.05,2.66666,7.22666
Salesforce,0.141665,0.25,4.575,7.17
Real Estate License - Pennsylvania,6.98333,6.98333,6.98333,6.98333
Spanish 2,0.33333,1.816665,4.8625,6.961663
Series 65,0.1083275,0.18333,0.60833,6.624998
German 4,6.61666,6.61666,6.61666,6.61666
CLEP Calculus,4.8874975,5.541665,6.1958325,6.588333
Data Structures,5.5249975,5.816665,6.1083325,6.283333
Philosophy,3.616665,6.2,6.2,6.2
CPA,0.12083,0.5,2.9124975,6.116661
LSAT Logical Reasoning,0.39166,0.46666,2.45416,6.03166
Minecraft,6.0,6.0,6.0,6.0
Conversational German,0.2416625,0.85,2.699995,5.93333
CFP,0.26666,0.26666,1.13333,5.89666
Cost Analysis,3.541665,4.43333,5.324995,5.859994
Japanese,0.16666,0.35,0.98333,5.776664
SSAT,5.76666,5.76666,5.76666,5.76666
High School Science,0.0,0.0,3.86666,5.76666
French 2,0.249995,2.53333,3.591665,5.76333
Cost Accounting,3.537495,4.35833,5.179165,5.671666
Pro Tools Software,5.5,5.5,5.5,5.5
High School Level American Literature,5.5,5.5,5.5,5.5
CELPIP,5.05,5.05,5.05,5.05
COTA,0.05,0.45833,2.21666,5.04
NBE,5.0,5.0,5.0,5.0
Latin 2,0.4,2.9,3.4,4.9
Filmmaking,2.516665,4.75,4.75,4.75
CogAT,4.1541625,4.324995,4.4958275,4.598327
PC Basic Computer Skills,2.291665,4.55,4.55,4.55
CLEP Principles of Microeconomics,4.46666,4.46666,4.46666,4.46666
GED Social Studies,3.591665,4.38333,4.38333,4.38333
Epidemiology,4.36666,4.36666,4.36666,4.36666
Linux,1.3958275,2.424995,3.4541625,4.071663
NCE,2.3541625,3.13333,3.42083,3.93833
AP Art History,3.9,3.9,3.9,3.9
Susan Barton,3.9,3.9,3.9,3.9
Immunology,0.6833275,0.86666,1.8708275,3.678329
CFA - Level 1,0.1833325,0.48333,1.2625,3.57
PRAXIS Core Reading,1.0124975,1.991665,2.9708325,3.558333
Numerical Analysis,3.55,3.55,3.55,3.55
SEE - Special Enrollment Exam,3.51666,3.51666,3.51666,3.51666
ACCUPLACER Writing,3.51666,3.51666,3.51666,3.51666
Contract Law,1.25,1.25,2.65833,3.503328
AP Music Theory,0.3625,0.4,1.462495,3.374995
TOEFL,3.35,3.35,3.35,3.35
IB French,0.15,0.2,2.125,3.28
EPPP,0.062495,1.64166,3.21666,3.21666
Series 26,3.2,3.2,3.2,3.2
Insurance License,0.26666,0.71666,1.5,3.096664
Evidence,2.8,2.8,2.8,2.8
CCNA Routing and Switching,2.78333,2.78333,2.78333,2.78333
ASCP Board of Certification,2.66666,2.66666,2.66666,2.66666
FE - Civil Engineering,0.15,1.00833,2.03333,2.588333
Kinesiology,2.58333,2.58333,2.58333,2.58333
AWS Certified Cloud Practitioner,2.5,2.5,2.5,2.5
USMLE Step 2 CK,0.05833,0.1,0.391665,2.5
Grade 12 Data Management,0.15,0.791665,1.8124975,2.494999
